S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 code,Census 2011 code
291,28,ANDHRA PRADESH,506,GUNTUR,5050,1,Atchampet,11,05050
292,28,ANDHRA PRADESH,520,VISAKHAPATANAM,4878,1,Atchutapuram,38,04878
293,6,HARYANA,69,MAHENDRAGARH,6457,1,Ateli,,00000
294,23,MADHYA PRADESH,395,BHIND,3391,1,Ater,1,03391
295,21,ODISHA,350,CUTTACK,2950,1,Athagad,12,02950
296,18,ASSAM,285,DHUBRI,7116,1,ATHANI,,00000
297,13,NAGALAND,613,PEREN,1853,1,Athibung,9,01853
298,36,TELANGANA,686,HANUMAKONDA,4694,4,Athmakur,23,04694
299,10,BIHAR,212,PATNA,1415,1,Athmalgola,18,01415
300,21,ODISHA,344,ANUGUL,3017,1,Athmallik,20,03017
301,23,MADHYA PRADESH,394,BETUL,3599,1,Athner,0,03599
302,29,KARNATAKA,527,BELAGAVI,5434,3,Athni,2,05434
303,1,JAMMU AND KASHMIR,620,KISHTWAR,71,5,Atholi (Paddar),4,00071
304,33,TAMIL NADU,572,DINDIGUL,5994,1,Athoor,,00000
305,28,ANDHRA PRADESH,504,Y.S.R.,5227,1,Atlur,29,05227
306,36,TELANGANA,693,WANAPARTHY,4592,4,Atmakur,44,04592
307,28,ANDHRA PRADESH,511,KURNOOL,5265,1,Atmakur,16,05265
308,28,ANDHRA PRADESH,502,ANANTAPUR,5322,1,Atmakur,19,05322
309,28,ANDHRA PRADESH,515,SPSR NELLORE,5164,1,Atmakur,12,05164
310,36,TELANGANA,697,YADADRI BHUVANAGIRI,4626,3,Atmakur (M),14,04626
311,36,TELANGANA,696,SURYAPET,4622,2,Atmakur (S),10,04622
312,13,NAGALAND,251,ZUNHEBOTO,1773,1,Atoizu,7,01773
313,27,MAHARASHTRA,493,SANGLI,4300,1,Atpadi,5,04300
314,9,UTTAR PRADESH,119,ALIGARH,754,2,Atrauli,3,00754
315,28,ANDHRA PRADESH,505,EAST GODAVARI,4919,1,Atreyapuram,35,04919
316,10,BIHAR,196,GAYA,1493,1,Atri,7,01493
317,8,RAJASTHAN,89,BARAN,673,2,Atru,4,00673
318,21,ODISHA,347,BARGARH,2769,1,Attabira,14,02769
319,32,KERALA,563,PALAKKAD,7176,1,Attappadi,,00000
320,28,ANDHRA PRADESH,523,WEST GODAVARI,4973,1,Attili,30,04973
321,33,TAMIL NADU,584,SALEM,5743,3,Attur,8,05743
322,27,MAHARASHTRA,477,HINGOLI,4113,1,Aundha (Nagnath),3,04113
323,29,KARNATAKA,529,BIDAR,5456,7,Aurad,3,05456
324,9,UTTAR PRADESH,179,BHADOHI,999,7,Aurai,1,00999
325,10,BIHAR,208,MUZAFFARPUR,1207,1,Aurai,9,01207
326,9,UTTAR PRADESH,122,AURAIYA,842,4,Auraiya,2,00842
327,27,MAHARASHTRA,469,AURANGABAD,4137,1,Aurangabad,5,04137
328,10,BIHAR,189,AURANGABAD,1481,1,Aurangabad,6,01481
329,27,MAHARASHTRA,481,LATUR,4232,2,Ausa,7,04232
330,19,WEST BENGAL,306,PURBA BARDHAMAN,2277,1,Ausgram - I,10,02277
331,19,WEST BENGAL,306,PURBA BARDHAMAN,2276,1,Ausgram - II,9,02276
332,2,HIMACHAL PRADESH,22,MANDI,134,7,Aut,11,00134
333,33,TAMIL NADU,589,THIRUVALLUR,6621,1,Avadi,,00000
334,33,TAMIL NADU,634,TIRUPPUR,5903,2,Avanashi,2,05903
335,28,ANDHRA PRADESH,510,KRISHNA,5037,1,Avanigadda,48,05037
336,33,TAMIL NADU,582,PUDUKKOTTAI,5828,1,Avudayarkoil,9,05828
337,1,JAMMU AND KASHMIR,11,PULWAMA,49,8,Awantipora,1,00049
338,23,MADHYA PRADESH,430,SHAJAPUR,6510,1,Awantipur Badodiya,,00000
339,33,TAMIL NADU,568,CHENNAI,7163,1,Ayanavaram,,00000
340,9,UTTAR PRADESH,123,AZAMGARH,966,4,Azamgarh,3,00966
341,10,BIHAR,201,KATIHAR,1148,1,Azamnagar,7,01148
342,18,ASSAM,618,KAMRUP METRO,2127,1,Azara,9,02127
343,3,PUNJAB,27,AMRITSAR,258,1,Baba Bakala,7,00258
344,23,MADHYA PRADESH,409,HOSHANGABAD,3616,6,Babai,4,03616
345,6,HARYANA,68,KURUKSHETRA,6454,1,Babain ST,,00000
346,29,KARNATAKA,530,VIJAYAPURA,7069,3,BABALESHWAR,,00000
347,9,UTTAR PRADESH,128,BANDA,872,2,Baberu,2,00872
348,24,GUJARAT,439,AMRELI,3840,1,Babra,2,03840
349,10,BIHAR,206,MADHUBANI,1088,1,Babubarhi,9,01088
350,27,MAHARASHTRA,500,YAVATMAL,4080,1,Babulgaon,2,04080
351,36,TELANGANA,689,JANGOAN,4674,2,Bachannapet,3,04674
