Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
282242,2,Dadonggre,,22,Village Employment Council,291806,0,17,MEGHALAYA
285693,2,Dadu,,22,Village Employment Council,293769,0,17,MEGHALAYA
285252,2,Dadugre,,22,Village Employment Council,291636,0,17,MEGHALAYA
284423,2,Daga Apal,,22,Village Employment Council,291891,0,17,MEGHALAYA
284365,2,Dagal Aga,,22,Village Employment Council,291892,0,17,MEGHALAYA
284358,2,Dagal Apal (Rabha),,22,Village Employment Council,292004,0,17,MEGHALAYA
284425,2,Dagal Aringa,,22,Village Employment Council,291893,0,17,MEGHALAYA
284892,2,Dagal Asimgre,,22,Village Employment Council,291788,0,17,MEGHALAYA
284096,2,Dagal Bollonggittim,,22,Village Employment Council,293275,0,17,MEGHALAYA
284097,2,Dagal Bolmedang,,22,Village Employment Council,291840,0,17,MEGHALAYA
284424,2,Dagal Budugre,,22,Village Employment Council,291891,0,17,MEGHALAYA
284426,2,Dagal Chimram,,22,Village Employment Council,291893,0,17,MEGHALAYA
284437,2,Dagal Chiwako,,22,Village Employment Council,291891,0,17,MEGHALAYA
