S.No.,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
6957,3952,54,Veppanahalli,6208,KELAMANGALAM,631,577,KRISHNAGIRI,224886,Doddathimmanahalli,518,14,Krishnagiri,TAMIL NADU,05892,5892,Denkanikottai,644025,644025,Nellur
6958,3861,39,Sholingur,6448,SHOLINGHUR,000,731,Ranipet,232521,Gudalur,503,6,Arakkonam,TAMIL NADU,00000,7060,Sholinghur,630580,630580,Gudalur
6959,3867,66,Polur,6411,PERNAMALLUR,606,593,TIRUVANNAMALAI,231289,Nedungunam,504,,Arani,TAMIL NADU,00000,6617,Chetpet,631586,631586,Nedungunam
6960,3946,179,Viralimalai,6264,ANNAVASAL,621,582,PUDUKKOTTAI,226652,VAYALOGAM,517,26,Karur,TAMIL NADU,05818,5818,Iluppur,639283,639283,Vayalogam
6961,4089,195,Thiruparankundram,6225,TIRUPPARANGUNRAM,623,578,MADURAI,225494,Virathanur,541,,Virudhunagar,TAMIL NADU,05841,5841,Madurai South,641051,641051,Muthupilli Alangulam
6962,4012,185,Tiruppattur,6314,S. PUDUR,622,585,SIVAGANGA,228173,Kunnathur,528,33,Sivaganga,TAMIL NADU,00000,5995,Singampunari,639975,639975,Piranpatti
6963,3866,71,Mailam,6460,MAILAM,607,596,VILLUPURAM,233238,Kenipattu.t,504,,Arani,TAMIL NADU,05729,5729,Tindivanam,632685,632685,Kenipattu
6964,4011,181,Thirumayam,6266,ARIMALAM,621,582,PUDUKKOTTAI,226735,Samuthiram,528,33,Sivaganga,TAMIL NADU,05822,5822,Thirumayam,639486,639486,Melivayal
6965,3995,183,Aranthangi,6265,ARANTANGI,621,582,PUDUKKOTTAI,226697,Rethinakkottai,526,34,Ramanathapuram,TAMIL NADU,05826,5826,Aranthangi,639727,639727,Mukkudi
6966,4076,45,Kilvaithinankuppam,6437,GUDIYATTAM,605,595,VELLORE,232313,D.p.palayam,539,7,Vellore,TAMIL NADU,05712,5712,Gudiyatham,630274,630274,Rangasamudram
6967,3861,39,Sholingur,6443,KAVERIPAKKAM,000,731,Ranipet,232556,Thuraiperumbakkam,503,6,Arakkonam,TAMIL NADU,00000,6664,Nemili,630660,630660,Thuraiperumbakkam
6968,3976,96,Tiruchengodu,6252,TIRUCHENGODU,609,580,NAMAKKAL,226243,A erayamangalam,522,,Namakkal,TAMIL NADU,05745,5745,Tiruchengode,634446,634446,Attavanai Erayamangalam
6969,3969,168,Thiruvarur,6363,MANNARGUDI,619,590,THIRUVARUR,229830,SITHANAKUDI,521,30,Nagapattinam,TAMIL NADU,00000,6627,Koothanallur,638170,638170,Sithanakudi
6970,3867,66,Polur,6412,POLUR,606,593,TIRUVANNAMALAI,231340,Thuringikuppam,504,,Arani,TAMIL NADU,05724,5724,Polur,631838,631838,Mulakkadu R.F.
6971,3985,144,Manachanallur,6372,MANACHANELLUR,614,591,TIRUCHIRAPPALLI,230165,No. 2Kariyamanickam,524,28,Perambalur,TAMIL NADU,05776,5776,Manachanallur,635863,635863,Kariyamanickam (West)
6972,3857,38,Arakkonam,6435,ARAKKONAM,000,731,Ranipet,232523,Kainoor,503,6,Arakkonam,TAMIL NADU,05715,5715,Arakonam,630574,630574,Kainoor
